CK_SIF;CK_PRII;CK_IME;CK_ULIC;CK_POST;CK_KRAJ;CK_PODR;CK_TEL1;CK_TEL2;CK_TEL3;CK_EMAIL;CK_EMAILIN;CK_ROJD;CK_LETNIK;CK_SPOL;CK_IZOB;CK_REKL;CK_DAV;CK_POS;CK_GESL;CK_DSPR;CK_USPR;CK_OPOM;CK_KOMEN;CK_UPOR;CK_INTRS;CK_EANST;CK_ZAUP13;CK_ZAUPAKT;CK_IZPIS;CK_IZPDAT;CK_POD
1;JAMES;BUTT;6649 N BLUE GUM ST;71000;Sarajevo                 ;40;504-621-8927;;                ;JBUTT@GMAIL.COM; ;;1965;2; ;D;                    ;      ;               ;4/7/2011;TR4000         ;                                                            ;0;                                        ;X        ;0;2008001001734; ; ;;BIH
2;JOSEPHINE;DARAKJY;4 B BLUE RIDGE BLVD;71000;Sarajevo                 ;40;810-292-9388;;                ;JOSEPHINE_DARAKJY@DARAKJY.ORG; ;3/3/1977;0;2; ;D;                    ;      ;               ;4/7/2011;TR4000         ;                                                            ;0;                                        ;X        ;0;2008001001741; ; ;;BIH
3;ART;VENERE;8 W CERRITOS AVE #54;71000;Sarajevo                 ;40;856-636-8749;;                ;ART@VENERE.ORG; ;5/4/1969;1969;2; ;D;                    ;      ;               ;4/7/2011;TR4000         ;                                                            ;0;                                        ;XX       ;0;2008001001758; ; ;;BIH
4;LENNA;PAPROCKI;639 MAIN ST;71000;Sarajevo                 ;40;907-385-4412;;                ;LPAPROCKI@HOTMAIL.COM;D;11/6/1961;1961;2; ;D;                    ;      ;               ;4/7/2011;TR4000         ;                                                            ;0;                                        ;X        ;0;2008001001765; ; ;;BIH
5;DONETTE;FOLLER;34 CENTER ST;71320;Vogošća                  ;40;513-570-1893;;                ;DONETTE.FOLLER@COX.NET;D;2/1/1984;1984;2; ;D;                    ;      ;               ;4/7/2011;TR4000         ;                                                            ;0;                                        ;X        ;0;2008001001789; ; ;;BIH
6;SIMONA;MORASCA;3 MCAULEY DR;88420;Jablanica                ;40;419-503-2484;;                ;SIMONA@MORASCA.COM; ;2/1/1957;1957;2; ;D;                    ;      ;               ;4/7/2011;TR4000         ;                                                            ;0;                                        ;X        ;0;2008001001796; ; ;;BIH
7;MITSUE;TOLLNER;7 EADS ST;71000;Sarajevo                 ;40;773-573-6914;;                ;MITSUE_TOLLNER@YAHOO.COM;N;7/19/1967;1967;1; ;N;                    ;      ;               ;6/24/2009;TR4000B        ;                                                            ;0;                                        ;X        ;0;2008001001819; ; ;;BIH
8;LEOTA;DILLIARD;7 W JACKSON BLVD;71000;Sarajevo                 ;40;408-752-3500;;                ;LEOTA@HOTMAIL.COM; ;6/27/1980;1980;2; ;D;                    ;      ;               ;4/7/2011;TR4000         ;                                                            ;0;                                        ;X        ;0;2008001001826; ; ;;BIH
9;SAGE;WIESER;5 BOSTON AVE #88;71000;Sarajevo                 ;40;605-414-2147;;                ;SAGE_WIESER@COX.NET; ;4/15/1954;1954;2; ;D;                    ;      ;               ;4/7/2011;TR4000         ;                                                            ;0;                                        ;X        ;0;2008001001833; ; ;;BIH
1;KRIS;MARRIER;228 RUNAMUCK PL #2808;10410;Velika Gorica            ;20;410-655-8723;;                ;KRIS@GMAIL.COM;D;7/15/1970;0;2; ;D;                    ;      ;               ;9/14/2009;centrala cro   ;                                                            ;0;                                        ;X   X    ;0;2008001001840; ; ;;CRO
2;MINNA;AMIGON;2371 JERROLD AVE;10410;Velika Gorica            ;20;215-874-1229;;                ;MINNA_AMIGON@YAHOO.COM; ;7/23/1965;0;2; ;D;                    ;      ;               ;9/14/2009;centrala cro   ;                                                            ;0;                                        ;X        ;0;2008001001857; ; ;;CRO
3;ABEL;MACLEAD;37275 ST  RT 17M M;10419;Vukovina                 ;20;631-335-3414;;                ;AMACLEAD@GMAIL.COM; ;;0;2; ;N;                    ;      ;               ;9/14/2009;centrala cro   ;                                                            ;0;                                        ;X        ;0;2008001001864; ; ;;CRO
4;KILEY;CALDARERA;25 E 75TH ST #69;10419;Vukovina                 ;20;310-498-5651;;                ;KILEY.CALDARERA@AOL.COM; ;9/21/1971;0;2; ;D;                    ;      ;               ;9/14/2009;centrala cro   ;                                                            ;0;                                        ;XX       ;0;2008001001871; ; ;;CRO
