"id";"firstname";"lastname";"street";"zipcode";"city";"email";"phone";"birthdate";"interest";"gender";"sizes";"status";"mailing";"sms";"date"
3;"Donte";"Kines";"3 Aspen St";3320;"Velenje";"dkines@hotmail.com";"508-429-8576";"1/26/1994";"zm,pc";"z";;1;1;0;"4/8/2021 13:37"
6;"Tiffiny";"Steffensmeier";"32860 Sierra Rd";4224;"Gorenja Vas";"tiffiny_steffensmeier@cox.net";"305-385-9695";"11/18/1998";"zm,mm,pc,ph";"z";;1;1;0;"4/11/2021 10:04"
7;"Edna";"Miceli";"555 Main St";1000;"Ljubljana";"emiceli@miceli.org";"814-460-2655";"5/12/1964";;;;1;0;0;"4/11/2021 14:48"
8;"Sue";"Kownacki";"2 Se 3rd Ave";3313;"Polzela";"sue@aol.com";"972-666-3413";"3/6/1988";"zm,mm,pc";"z";;1;1;1;"4/11/2021 20:23"
9;"Jesusa";"Shin";"2239 Shawnee Mission Pky";9244;"Sv. Jurij ob Ščavnici";"jshin@shin.com";"931-273-8709";;;"z";;0;1;1;"4/13/2021 4:04"
10;"Rolland";"Francescon";"2726 Charcot Ave";1423;"Dobovec";"rolland@cox.net";"973-649-2922";"9/7/1981";"ph";"m";;0;0;0;"4/13/2021 4:24"
11;"Pamella";"Schmierer";"5161 Dorsett Rd";3000;"Celje";"pamella.schmierer@schmierer.org";"305-420-8970";"10/6/1971";"zm,ph";;;0;0;0;"4/13/2021 11:17"
12;"Glory";"Kulzer";"55892 Jacksonville Rd";2231;"PERNICA";"gkulzer@kulzer.org";"410-224-9462";"3/13/1978";"zm,pc,ph";"z";;0;0;0;"4/13/2021 14:48"
13;"Shawna";"Palaspas";"5 N Cleveland Massillon Rd";6000;"koper";"shawna_palaspas@palaspas.org";"805-275-3566";"9/5/1978";"zm,pc,ph,sm,tk";"z";;0;1;0;"4/14/2021 4:27"
14;"Brandon";"Callaro";"7 Benton Dr";1433;"RADEČE";"brandon_callaro@hotmail.com";"808-215-6832";;"zm,mm,ph";;;0;0;0;"4/14/2021 13:06"
15;"Scarlet";"Cartan";"9390 S Howell Ave";6320;"Portorož/Portorose";"scarlet.cartan@yahoo.com";"229-735-3378";"10/9/1971";"zm,mm,pc";"z";;0;1;0;"4/15/2021 15:17"
16;"Oretha";"Menter";"8 County Center Dr #647";"1292 Ig";"Ig pri  Ljubljani";"oretha_menter@yahoo.com";"617-418-5043";"9/27/1974";"zm,pc,ph";"z";;0;1;1;"4/15/2021 20:47"
17;"Ty";"Smith";"4646 Kaahumanu St";1281;"Kresnice";"tsmith@aol.com";"201-672-1553";"6/17/1985";"zm,ph";"z";;0;1;1;"4/16/2021 14:53"
18;"Xuan";"Rochin";"2 Monroe St";2288;"HAJDINA";"xuan@gmail.com";"650-933-5072";"1/22/1992";"zm,pc,sm";"z";;0;0;0;"4/16/2021 16:24"
19;"Lindsey";"Dilello";"52777 Leaders Heights Rd";1293;"Šmarje Sap";"lindsey.dilello@hotmail.com";"909-639-9887";"8/31/1983";"zm";"z";;0;1;0;"4/16/2021 17:04"
20;"Devora";"Perez";"72868 Blackington Ave";2316;"zgornja Loznica";"devora_perez@perez.org";"510-955-3016";"11/11/2002";"zm,ph";"z";;0;1;0;"4/16/2021 19:36"
21;"Herman";"Demesa";"9 Norristown Rd";5280;"Idrija";"hdemesa@cox.net";"518-497-2940";;"zm,mm,pc,ph";"m";;0;0;0;"4/16/2021 22:31"
22;"Rory";"Papasergi";"83 County Road 437 #8581";8281;"Senovo";"rpapasergi@cox.net";"570-867-7489";"8/30/1970";"pc";"z";;0;1;1;"4/17/2021 12:43"
